name,province,memberShip,985,211
国网电力科学研究院,江苏,国家电网公司,0,0
西安热工研究院有限公司,陕西,转制科研单位,0,0
长江科学院,湖北,水利部,0,0
南京水利科学研究院,江苏,水利部,0,0
中国建筑科学研究院,北京,转制科研单位,0,0
中国城市规划设计研究院,北京,建设部,0,0
中国建筑设计研究院,北京,转制科研单位,0,0
中国环境科学研究院,北京,国家环境保护总局,0,0
中国地质科学院,北京,国土资源部,0,0
钢铁研究总院,北京,转制科研单位,0,0
中冶建筑研究总院有限公司,北京,转制科研单位,0,0
长沙矿冶研究院,湖南,转制科研单位,0,0
中钢集团马鞍山矿山研究院,安徽,中钢集团公司,0,0
冶金自动化研究设计院,北京,转制科研单位,0,0
中钢集团洛阳耐火材料研究院,河南,中钢集团公司,0,0
中钢集团天津地质研究院有限公司,天津,中钢集团公司,0,0
中钢集团武汉安全环保研究院,湖北,中钢集团公司,0,0
机械科学研究总院,北京,机械科学研究院,0,0
北京机械工业自动化研究所,北京,机械科学研究院,0,0
北京机电研究所,北京,机械科学研究院,0,0
